model_family,tau,nonlinear_layers,hidden_dim,alpha,lambda,validation_loss
dnn,0.75,1,8,1.0,0.1,0.06378462388645857
dnn,0.75,1,8,1.0,1.0,0.05736313690470221
dnn,0.75,1,8,1.0,10.0,0.05212857621894121
dnn,0.75,2,2,0.0,0.1,0.08225488040441027
dnn,0.75,2,2,0.0,1.0,0.05573328567358355
dnn,0.75,2,2,0.0,10.0,0.05552909807457278
dnn,0.75,2,2,0.5,0.1,0.06232152818934993
dnn,0.75,2,2,0.5,1.0,0.05547490896191446
dnn,0.75,2,2,0.5,10.0,0.05549995285381251
dnn,0.75,2,2,1.0,0.1,0.06421005906304343
dnn,0.75,2,2,1.0,1.0,0.05623012268915771
dnn,0.75,2,2,1.0,10.0,0.055983259344163025
dnn,0.75,2,4,0.0,0.1,0.08078333326043019
dnn,0.75,2,4,0.0,1.0,0.05586348410385351
dnn,0.75,2,4,0.0,10.0,0.05619993377011268
dnn,0.75,2,4,0.5,0.1,0.0826864962015922
dnn,0.75,2,4,0.5,1.0,0.05553534074453636
dnn,0.75,2,4,0.5,10.0,0.05676453324655693
dnn,0.75,2,4,1.0,0.1,0.06324157220272657
dnn,0.75,2,4,1.0,1.0,0.05727291490378169
dnn,0.75,2,4,1.0,10.0,0.05608852488920093
dnn,0.75,2,8,0.0,0.1,0.07472307505732413
dnn,0.75,2,8,0.0,1.0,0.05611030696736026
dnn,0.75,2,8,0.0,10.0,0.05558953621036682
dnn,0.75,2,8,0.5,0.1,0.08037662123851383
dnn,0.75,2,8,0.5,1.0,0.06568654582952148
dnn,0.75,2,8,0.5,10.0,0.05552181967844565
dnn,0.75,2,8,1.0,0.1,0.06420897754530111
dnn,0.75,2,8,1.0,1.0,0.05785520337289199
dnn,0.75,2,8,1.0,10.0,0.056730136984648794
dnn,0.9,1,2,0.0,0.1,0.062198548237482706
dnn,0.9,1,2,0.0,1.0,0.03220585726636149
dnn,0.9,1,2,0.0,10.0,0.031856108706444494
dnn,0.9,1,2,0.5,0.1,0.04118893275472025
dnn,0.9,1,2,0.5,1.0,0.040412752634224794
dnn,0.9,1,2,0.5,10.0,0.031502948056906455
dnn,0.9,1,2,1.0,0.1,0.041386356151662765
dnn,0.9,1,2,1.0,1.0,0.03762769887503236
dnn,0.9,1,2,1.0,10.0,0.03127041362039744
dnn,0.9,1,4,0.0,0.1,0.06027789248898625
dnn,0.9,1,4,0.0,1.0,0.05599866630633672
dnn,0.9,1,4,0.0,10.0,0.03072544065195445
dnn,0.9,1,4,0.5,0.1,0.044493472976299624
dnn,0.9,1,4,0.5,1.0,0.04247738798273105
dnn,0.9,1,4,0.5,10.0,0.03161958886434633
dnn,0.9,1,4,1.0,0.1,0.04165948563379545
dnn,0.9,1,4,1.0,1.0,0.03906539554987102
dnn,0.9,1,4,1.0,10.0,0.030934019527708474
dnn,0.9,1,8,0.0,0.1,0.061676415318002296
dnn,0.9,1,8,0.0,1.0,0.04702846344684562
dnn,0.9,1,8,0.0,10.0,0.031028023524830736
dnn,0.9,1,8,0.5,0.1,0.051842915899159084
dnn,0.9,1,8,0.5,1.0,0.040628945468614494
dnn,0.9,1,8,0.5,10.0,0.030672248361011338
dnn,0.9,1,8,1.0,0.1,0.041407267460289096
dnn,0.9,1,8,1.0,1.0,0.03997202381965083
dnn,0.9,1,8,1.0,10.0,0.03152383725283046
dnn,0.9,2,2,0.0,0.1,0.033511749016741914
dnn,0.9,2,2,0.0,1.0,0.03323575175801913
dnn,0.9,2,2,0.0,10.0,0.03334749221305053
dnn,0.9,2,2,0.5,0.1,0.05297226714404921
dnn,0.9,2,2,0.5,1.0,0.03329833665986855
dnn,0.9,2,2,0.5,10.0,0.033235749106854194
dnn,0.9,2,2,1.0,0.1,0.04174865035309146
dnn,0.9,2,2,1.0,1.0,0.03325159272303184
dnn,0.9,2,2,1.0,10.0,0.0333931118324399
dnn,0.9,2,4,0.0,0.1,0.03344043998792767
dnn,0.9,2,4,0.0,1.0,0.033237840012957647
dnn,0.9,2,4,0.0,10.0,0.0332357499760886
dnn,0.9,2,4,0.5,0.1,0.0499368493257789
dnn,0.9,2,4,0.5,1.0,0.03322625133022665
dnn,0.9,2,4,0.5,10.0,0.033583256380011625
dnn,0.9,2,4,1.0,0.1,0.040822752018459134
dnn,0.9,2,4,1.0,1.0,0.03337564617519577
dnn,0.9,2,4,1.0,10.0,0.0332445017012457
dnn,0.9,2,8,0.0,0.1,0.05330565495191451
dnn,0.9,2,8,0.0,1.0,0.033583345296482235
dnn,0.9,2,8,0.0,10.0,0.03323575109988451
dnn,0.9,2,8,0.5,0.1,0.050138491022788625
