model_family,tau,nonlinear_layers,hidden_dim,alpha,lambda,validation_loss
linear_activation,0.05,1,4,1.0,2.221007363126434,0.026394474127019445
linear_activation,0.05,1,4,1.0,2.4553495704394916,0.02660044024015466
linear_activation,0.05,1,4,1.0,2.7144176165949077,0.02573715100623667
linear_activation,0.05,1,4,1.0,3.000820366267417,0.02598149219310532
linear_activation,0.05,1,4,1.0,3.3174419498137175,0.0250218115337193
linear_activation,0.05,1,4,1.0,3.667470807015676,0.02518082436888168
linear_activation,0.05,1,4,1.0,4.0544317952775275,0.0244565645288676
linear_activation,0.05,1,4,1.0,4.482221685612751,0.024031546008152257
linear_activation,0.05,1,4,1.0,4.955148403871969,0.023915469232946632
linear_activation,0.05,1,4,1.0,5.477974412378556,0.02292844437466313
linear_activation,0.05,1,4,1.0,6.055964668833263,0.022454574233231443
linear_activation,0.05,1,4,1.0,6.69493964544323,0.021899700418735537
linear_activation,0.05,1,4,1.0,7.4013339421880975,0.021949269004166123
linear_activation,0.05,1,4,1.0,8.182261084470007,0.021543380660936234
linear_activation,0.05,1,4,1.0,9.045585157672232,0.021272521095971265
linear_activation,0.05,1,4,1.0,10.000000000000002,0.020967840244372683
linear_activation,0.05,1,8,1.0,0.2,0.027508010101504624
linear_activation,0.05,1,8,1.0,0.22110233502181484,0.027634528873177865
linear_activation,0.05,1,8,1.0,0.24443121276049423,0.027975090864114458
linear_activation,0.05,1,8,1.0,0.27022155946779647,0.027298115694584946
linear_activation,0.05,1,8,1.0,0.29873308885782995,0.02776907197758555
linear_activation,0.05,1,8,1.0,0.33025291747372754,0.027928780518472193
linear_activation,0.05,1,8,1.0,0.36509845600603935,0.02761799838642279
linear_activation,0.05,1,8,1.0,0.4036206056789731,0.0277495836460342
linear_activation,0.05,1,8,1.0,0.44620729189270064,0.027750875359401104
linear_activation,0.05,1,8,1.0,0.4932873707061831,0.02699536485224962
linear_activation,0.05,1,8,1.0,0.5453349474995434,0.027799240963223074
linear_activation,0.05,1,8,1.0,0.6028741513057392,0.02798555737764885
linear_activation,0.05,1,8,1.0,0.6664844128899691,0.02791916371881962
linear_activation,0.05,1,8,1.0,0.7368062997280775,0.02693973908449213
linear_activation,0.05,1,8,1.0,0.8145479666433055,0.027184836320579053
linear_activation,0.05,1,8,1.0,0.900492287060531,0.027495055674575268
linear_activation,0.05,1,8,1.0,0.9955047366910887,0.02739320194752266
linear_activation,0.05,1,8,1.0,1.1005421090383833,0.027056968394666907
linear_activation,0.05,1,8,1.0,1.2166621504910964,0.026442241874523455
linear_activation,0.05,1,8,1.0,1.3450342120312204,0.02637675364129245
linear_activation,0.05,1,8,1.0,1.4869510248216484,0.02637938318401575
linear_activation,0.05,1,8,1.0,1.643841718255735,0.026432843465358017
linear_activation,0.05,1,8,1.0,1.8172862115630761,0.025987624342242874
linear_activation,0.05,1,8,1.0,2.0090311238977194,0.02701968406420201
linear_activation,0.05,1,8,1.0,2.221007363126434,0.02584083422956367
linear_activation,0.05,1,8,1.0,2.4553495704394916,0.026086886218748984
linear_activation,0.05,1,8,1.0,2.7144176165949077,0.025834703125059602
linear_activation,0.05,1,8,1.0,3.000820366267417,0.025696865316480397
linear_activation,0.05,1,8,1.0,3.3174419498137175,0.025399640023397903
linear_activation,0.05,1,8,1.0,3.667470807015676,0.024654047699645156
linear_activation,0.05,1,8,1.0,4.0544317952775275,0.02482517404730121
linear_activation,0.05,1,8,1.0,4.482221685612751,0.024202627368271352
linear_activation,0.05,1,8,1.0,4.955148403871969,0.023485681923106305
linear_activation,0.05,1,8,1.0,5.477974412378556,0.023245495699966943
linear_activation,0.05,1,8,1.0,6.055964668833263,0.022610737117317814
linear_activation,0.05,1,8,1.0,6.69493964544323,0.022085730841072897
linear_activation,0.05,1,8,1.0,7.4013339421880975,0.0215704860749344
linear_activation,0.05,1,8,1.0,8.182261084470007,0.02151760061675062
linear_activation,0.05,1,8,1.0,9.045585157672232,0.02102953082354118
linear_activation,0.05,1,8,1.0,10.000000000000002,0.02083683577148865
linear_activation,0.05,2,2,1.0,0.2,0.02358431873315324
linear_activation,0.05,2,2,1.0,0.22110233502181484,0.023355171774514013
linear_activation,0.05,2,2,1.0,0.24443121276049423,0.017993437613050146
linear_activation,0.05,2,2,1.0,0.27022155946779647,0.02600939411763102
linear_activation,0.05,2,2,1.0,0.29873308885782995,0.017936784242590265
linear_activation,0.05,2,2,1.0,0.33025291747372754,0.017992434653143093
linear_activation,0.05,2,2,1.0,0.36509845600603935,0.0179754922563831
linear_activation,0.05,2,2,1.0,0.4036206056789731,0.017976613289366165
linear_activation,0.05,2,2,1.0,0.44620729189270064,0.018021355534593265
linear_activation,0.05,2,2,1.0,0.4932873707061831,0.0179777646958828
linear_activation,0.05,2,2,1.0,0.5453349474995434,0.01801125005756815
linear_activation,0.05,2,2,1.0,0.6028741513057392,0.017991635659088685
linear_activation,0.05,2,2,1.0,0.6664844128899691,0.017995141784350077
linear_activation,0.05,2,2,1.0,0.7368062997280775,0.01798496981089314
linear_activation,0.05,2,2,1.0,0.8145479666433055,0.0180112494242688
linear_activation,0.05,2,2,1.0,0.900492287060531,0.018087247842301934
linear_activation,0.05,2,2,1.0,0.9955047366910887,0.018063609509418408
linear_activation,0.05,2,2,1.0,1.1005421090383833,0.01800979203482469
linear_activation,0.05,2,2,1.0,1.2166621504910964,0.01804617444301646
linear_activation,0.05,2,2,1.0,1.3450342120312204,0.018009791687130926
linear_activation,0.05,2,2,1.0,1.4869510248216484,0.018009791668504475
linear_activation,0.05,2,2,1.0,1.643841718255735,0.01804933951174219
linear_activation,0.05,2,2,1.0,1.8172862115630761,0.01804617491488656
linear_activation,0.05,2,2,1.0,2.0090311238977194,0.018009791848560174
linear_activation,0.05,2,2,1.0,2.221007363126434,0.018026394188404085
linear_activation,0.05,2,2,1.0,2.4553495704394916,0.01791981322318315
linear_activation,0.05,2,2,1.0,2.7144176165949077,0.018009791823724905
linear_activation,0.05,2,2,1.0,3.000820366267417,0.01804617491488656
linear_activation,0.05,2,2,1.0,3.3174419498137175,0.01804617491488656
linear_activation,0.05,2,2,1.0,3.667470807015676,0.018009791848560174
linear_activation,0.05,2,2,1.0,4.0544317952775275,0.01791981324801842
linear_activation,0.05,2,2,1.0,4.482221685612751,0.018009791848560174
linear_activation,0.05,2,2,1.0,4.955148403871969,0.018086623191833504
linear_activation,0.05,2,2,1.0,5.477974412378556,0.018086623191833504
linear_activation,0.05,2,2,1.0,6.055964668833263,0.01804617491488656
linear_activation,0.05,2,2,1.0,6.69493964544323,0.01804933942481875
linear_activation,0.05,2,2,1.0,7.4013339421880975,0.01804617491488656
linear_activation,0.05,2,2,1.0,8.182261084470007,0.018009791848560174
linear_activation,0.05,2,2,1.0,9.045585157672232,0.018009791848560174
linear_activation,0.05,2,2,1.0,10.000000000000002,0.01791981324801842
linear_activation,0.05,2,4,1.0,0.2,0.026322513355563085
linear_activation,0.05,2,4,1.0,0.22110233502181484,0.024929884250896667
linear_activation,0.05,2,4,1.0,0.24443121276049423,0.025755406417263052
linear_activation,0.05,2,4,1.0,0.27022155946779647,0.02469795231334865
linear_activation,0.05,2,4,1.0,0.29873308885782995,0.025647650104326507
linear_activation,0.05,2,4,1.0,0.33025291747372754,0.018038808525850374
linear_activation,0.05,2,4,1.0,0.36509845600603935,0.017926195340851936
linear_activation,0.05,2,4,1.0,0.4036206056789731,0.025962179411202668
linear_activation,0.05,2,4,1.0,0.44620729189270064,0.018022071963797015
linear_activation,0.05,2,4,1.0,0.4932873707061831,0.01799471575394273
linear_activation,0.05,2,4,1.0,0.5453349474995434,0.018070504605770105
linear_activation,0.05,2,4,1.0,0.6028741513057392,0.01802354318027695
linear_activation,0.05,2,4,1.0,0.6664844128899691,0.017978593274950983
