model_family,tau,nonlinear_layers,hidden_dim,alpha,lambda,validation_loss,family,initial_fitted_variance,architecture_lambda_zero_fitted_variance,max_lambda_zero_fitted_variance,achieved_r,valid_complexity_reference
dnn,0.05,2,8,1.0,3.667470807015676,0.0900298852334519,dnn,5.684341886080802e-14,0.00038994240458123386,0.7851186394691467,7.240105635403377e-14,True
dnn,0.05,2,8,1.0,6.69493964544323,0.0900298852334519,dnn,5.684341886080802e-14,0.00038994240458123386,0.7851186394691467,7.240105635403377e-14,True
dnn,0.05,2,2,1.0,4.482221685612751,0.0900298852334519,dnn,5.684341886080802e-14,6.563291208294686e-06,0.7851186394691467,7.240105635403377e-14,True
dnn,0.05,2,4,0.5,4.955148403871969,0.0900298852334519,dnn,1.4210854715202004e-14,2.447398950167212e-10,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,2,0.0,7.4013339421880975,0.0900298852334519,dnn,1.4210854715202004e-14,1.5683493614915278e-08,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,2,0.5,6.69493964544323,0.0900298852334519,dnn,5.684341886080802e-14,1.6458682239317568e-07,0.7851186394691467,7.240105635403377e-14,True
dnn,0.05,2,4,0.0,1.817286211563076,0.0900298852334519,dnn,1.4210854715202004e-14,1.9324999933623133e-11,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,4,0.5,2.714417616594908,0.0900298852582871,dnn,1.4210854715202004e-14,2.447398950167212e-10,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,4,0.5,2.0090311238977194,0.090029885705322,dnn,0.0,2.447398950167212e-10,0.7851186394691467,0.0,True
dnn,0.05,2,8,0.5,0.900492287060531,0.0900298865497211,dnn,4.881201345896535e-12,1.2262222526260302e-07,0.7851186394691467,6.217151269261586e-12,True
dnn,0.05,2,4,0.5,0.2702215594677964,0.0900298877914845,dnn,1.2002772040164977e-11,2.447398950167212e-10,0.7851186394691467,1.5287844966055806e-11,True
dnn,0.05,2,4,0.5,0.4036206056789731,0.0900298924210773,dnn,2.6572023661269872e-12,2.447398950167212e-10,0.7851186394691467,3.3844596632219034e-12,True
dnn,0.05,2,8,0.0,1.2166621504910964,0.0900298924459126,dnn,4.706635133174507e-14,1.0007839001957564e-08,0.7851186394691467,5.994807531708673e-14,True
dnn,0.05,2,2,1.0,0.5453349474995434,0.0900298949542747,dnn,1.5902662520161925e-09,6.563291208294686e-06,0.7851186394691467,2.025510759866103e-09,True
dnn,0.05,2,8,1.0,1.3450342120312204,0.0900298958483444,dnn,5.852030015088272e-13,0.00038994240458123386,0.7851186394691467,7.453688806885399e-13,True
dnn,0.05,2,2,1.0,0.6664844128899691,0.0900298962953792,dnn,3.620674593474149e-10,6.563291208294686e-06,0.7851186394691467,4.6116273534433556e-10,True
dnn,0.05,2,8,0.5,2.714417616594908,0.0900298965934024,dnn,0.0,1.2262222526260302e-07,0.7851186394691467,0.0,True
dnn,0.05,2,2,1.0,3.667470807015676,0.090029896643073,dnn,5.684341886080802e-14,6.563291208294686e-06,0.7851186394691467,7.240105635403377e-14,True
dnn,0.05,2,2,1.0,7.4013339421880975,0.090029896643073,dnn,5.684341886080802e-14,6.563291208294686e-06,0.7851186394691467,7.240105635403377e-14,True
